Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
The Beaches,43.67635739999999,-79.2930312,Glen Manor Ravine,43.67682094413784,-79.29394208780984,Trail
The Beaches,43.67635739999999,-79.2930312,The Big Carrot Natural Food Market,43.678879,-79.29773399999998,Health Food Store
The Beaches,43.67635739999999,-79.2930312,Grover Pub and Grub,43.679181434941015,-79.29721535878515,Pub
The Beaches,43.67635739999999,-79.2930312,Upper Beaches,43.68056321147582,-79.2928688743688,Neighborhood
"The Danforth West, Riverdale",43.6795571,-79.352188,MenEssentials,43.677820068604575,-79.35126543045044,Cosmetics Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,La Diperie,43.677702,-79.352265,Ice Cream Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,Pantheon,43.67762124481265,-79.35143390043564,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Dolce Gelato,43.677772998450614,-79.35118737317053,Ice Cream Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,Cafe Fiorentina,43.677743,-79.350115,Italian Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Louis Cifer Brew Works,43.677662745359996,-79.35131257623709,Brewery
"The Danforth West, Riverdale",43.6795571,-79.352188,The Big Carrot Organic Juice Bar,43.677438,-79.352683,Juice Bar
"The Danforth West, Riverdale",43.6795571,-79.352188,Moksha Yoga Danforth,43.677621744798834,-79.3521159367257,Yoga Studio
"The Danforth West, Riverdale",43.6795571,-79.352188,Messini Authentic Gyros,43.677704,-79.35048,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Rikkochez,43.677267,-79.353274,Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Mezes,43.6779622615441,-79.35019606997218,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Valley Farm Produce,43.67799929468728,-79.3499690927287,Fruit & Vegetable Store
"The Danforth West, Riverdale",43.6795571,-79.352188,7 Numbers,43.67706177495983,-79.35393428891682,Italian Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Pizzeria Libretto,43.678488633358,-79.34757579277853,Pizza Place
"The Danforth West, Riverdale",43.6795571,-79.352188,The Auld Spot Pub,43.67733505610778,-79.35312964755529,Pub
"The Danforth West, Riverdale",43.6795571,-79.352188,Re: Reading,43.67850657042808,-79.34767758382526,Bookstore
"The Danforth West, Riverdale",43.6795571,-79.352188,Don Valley Trail,43.67633091997674,-79.35392333297455,Trail
"The Danforth West, Riverdale",43.6795571,-79.352188,Astoria Shish Kebob House,43.677596,-79.351738,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Alexandros,43.67830448799867,-79.34948556208978,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Caffé Demetre,43.67768266377745,-79.35160842812537,Dessert Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,Carrot Commons,43.6774845518262,-79.35307562861175,Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,IQ Living,43.678477,-79.347811,Furniture / Home Store
"The Danforth West, Riverdale",43.6795571,-79.352188,Athen's Pastries,43.678165895331134,-79.34892679522845,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Urban Nails,43.6766677890219,-79.35660190332753,Spa
"The Danforth West, Riverdale",43.6795571,-79.352188,Tsaa Tea Shop,43.67776898684133,-79.35130446081268,Bubble Tea Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,Christina's On The Danforth,43.678239784878826,-79.34918494943804,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Leonidas Chocolates Cafe,43.67811808012494,-79.34948504099059,Café
"The Danforth West, Riverdale",43.6795571,-79.352188,Bulk Barn,43.67678989740335,-79.35586511284247,Grocery Store
"The Danforth West, Riverdale",43.6795571,-79.352188,Dough Bakeshop,43.67664308520287,-79.35684634585105,Bakery
"The Danforth West, Riverdale",43.6795571,-79.352188,Marvel Coffee Co.,43.678629530863844,-79.34746013725268,Coffee Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,Simone's Caribbean Restaurant,43.67865547474292,-79.34658157954753,Caribbean Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Sher-E-Punjab,43.677307889396715,-79.35306551709384,Indian Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Cafe Frappe,43.67812618087551,-79.34843379217203,Coffee Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,IL FORNELLO on Danforth,43.67860392856737,-79.34690364849348,Italian Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Bar Oak,43.67793098663968,-79.34872380466781,Lounge
"The Danforth West, Riverdale",43.6795571,-79.352188,Menchie's,43.67830909198205,-79.34810528402672,Frozen Yogurt Shop
"The Danforth West, Riverdale",43.6795571,-79.352188,Friendly Greek Restaurant,43.678427913624354,-79.34764181796815,Greek Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Katsu Japanese Restaurant,43.67861856512561,-79.34702430590903,Sushi Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,LCBO,43.67681583800872,-79.35604671347544,Liquor Store
"The Danforth West, Riverdale",43.6795571,-79.352188,Factory Girl,43.676692877628604,-79.35629876225282,American Restaurant
"The Danforth West, Riverdale",43.6795571,-79.352188,Kitchen Stuff Plus,43.67861256318158,-79.34642163596001,Furniture / Home Store
"The Danforth West, Riverdale",43.6795571,-79.352188,Starbucks,43.678879,-79.346357,Coffee Shop
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,System Fitness,43.667171452103204,-79.31273345707406,Gym
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Brett's Ice Cream,43.667222,-79.312831,Ice Cream Shop
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,British Style Fish & Chips,43.66872336908457,-79.31713935234417,Fish & Chips Shop
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,The Burger's Priest,43.6667306403693,-79.3155561491546,Fast Food Restaurant
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,O Sushi,43.66668372330836,-79.3166142781831,Sushi Restaurant
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Woodbine Park,43.66486036311473,-79.31510925292969,Park
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Godspeed Brewery,43.672620301525775,-79.31922849103603,Brewery
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Murphy's Law,43.66731906186094,-79.31265587607287,Pub
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Casa di Giorgio,43.66664527559903,-79.31520351125722,Italian Restaurant
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Burrito Bandidos,43.666445461375574,-79.31644740429473,Burrito Place
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Pet Valu,43.666979179508935,-79.31466465565389,Pet Store
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,The Tulip Steakhouse,43.66634820248808,-79.31685400996345,Steakhouse
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,LCBO,43.666731506242336,-79.31496605090986,Liquor Store
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Harvey's,43.66652801054251,-79.3151266656414,Restaurant
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Alliance Cinemas - The Beach,43.666746976047506,-79.31468500467348,Movie Theater
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Subway,43.66605207373166,-79.3169328912536,Sandwich Place
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Orchard Park,43.66885831178213,-79.31416022446446,Park
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Pizzaiolo,43.668953198390454,-79.31168339331794,Pizza Place
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Jody's Deli,43.668946046106456,-79.31163457258731,Sandwich Place
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Measurement Park,43.66691600207077,-79.31263053498228,Park
Studio District,43.6595255,-79.340923,Ed's Real Scoop,43.66065583245501,-79.34201875480059,Ice Cream Shop
Studio District,43.6595255,-79.340923,Leslieville Pumps,43.660892213090676,-79.34062599380813,Sandwich Place
Studio District,43.6595255,-79.340923,Queen Books,43.6606506251737,-79.34226723956904,Bookstore
Studio District,43.6595255,-79.340923,Te Aro,43.661372816750486,-79.33857736283376,Coffee Shop
Studio District,43.6595255,-79.340923,The Bone House,43.66089376125636,-79.3410974737743,Pet Store
Studio District,43.6595255,-79.340923,Hooked,43.660407315242956,-79.34325721641623,Fish Market
Studio District,43.6595255,-79.340923,WAYLABAR,43.661234129782564,-79.33959722763221,Gay Bar
Studio District,43.6595255,-79.340923,Brick Street Breads,43.66068453213004,-79.34250134749479,Bakery
Studio District,43.6595255,-79.340923,Purple Penguin Cafe,43.66050115073973,-79.34256490845178,Café
Studio District,43.6595255,-79.340923,Leslieville,43.662070243927786,-79.33785619823739,Neighborhood
Studio District,43.6595255,-79.340923,Baldini,43.661299966369135,-79.33902686943661,Italian Restaurant
Studio District,43.6595255,-79.340923,Leslieville Cheese Market,43.66054639296253,-79.34230245629409,Cheese Shop
Studio District,43.6595255,-79.340923,Mercury Espresso Bar,43.66080615235188,-79.34124064841119,Coffee Shop
Studio District,43.6595255,-79.340923,Reliable Halibut and Chips,43.660874,-79.340938,Seafood Restaurant
Studio District,43.6595255,-79.340923,braised,43.660451867292366,-79.34334606916272,American Restaurant
Studio District,43.6595255,-79.340923,Boxcar Social,43.659722741351565,-79.34687077721378,Café
Studio District,43.6595255,-79.340923,Tabule,43.659730965343634,-79.3463408134466,Middle Eastern Restaurant
Studio District,43.6595255,-79.340923,Wonder Pens,43.662809067344405,-79.34145159601191,Stationery Store
Studio District,43.6595255,-79.340923,eastside social,43.66128890198289,-79.33915476536174,Comfort Food Restaurant
Studio District,43.6595255,-79.340923,Bonjour Brioche,43.659734402868004,-79.34626614342186,Bakery
Studio District,43.6595255,-79.340923,Starbucks,43.660742,-79.342362,Coffee Shop
Studio District,43.6595255,-79.340923,EAT BKK Thai Kitchen,43.66045,-79.343113,Thai Restaurant
Studio District,43.6595255,-79.340923,Sweat & Soda,43.661853741871965,-79.33619591158853,Café
Studio District,43.6595255,-79.340923,District 28,43.65517388160507,-79.34059760137761,Coworking Space
Studio District,43.6595255,-79.340923,Chez Nous,43.65964,-79.3469,Wine Bar
Studio District,43.6595255,-79.340923,Avling Kitchen & Brewery,43.661515,-79.33811700000003,Brewery
Studio District,43.6595255,-79.340923,Delica Kitchen,43.66080581509536,-79.34150197940217,Café
Studio District,43.6595255,-79.340923,Jimmie Simpson Park,43.65922968838468,-79.3450629597167,Park
Studio District,43.6595255,-79.340923,Spirit Loft Yoga,43.663548159441355,-79.3413327874046,Yoga Studio
Studio District,43.6595255,-79.340923,Barrio Cerveceria,43.66043013260823,-79.34350897486634,Latin American Restaurant
Studio District,43.6595255,-79.340923,Brooklyn Tavern,43.6619369746749,-79.33593786927155,American Restaurant
Studio District,43.6595255,-79.340923,The Thirsty Duck,43.66113846977925,-79.34010994796955,Gastropub
Studio District,43.6595255,-79.340923,Dwell Gym,43.6634116374049,-79.3411044597478,Gym / Fitness Center
Studio District,43.6595255,-79.340923,The Roy Public House,43.660451849464096,-79.34299382973944,Bar
Studio District,43.6595255,-79.340923,7-Eleven,43.660897,-79.340159,Convenience Store
Studio District,43.6595255,-79.340923,TD Canada Trust,43.66065945166685,-79.34277481866047,Bank
Studio District,43.6595255,-79.340923,Gale's Snack Bar,43.658239,-79.339077,Diner
Studio District,43.6595255,-79.340923,Good Neighbour,43.661000457579405,-79.34029809683763,Clothing Store
Studio District,43.6595255,-79.340923,Saulter Street Brewery,43.6584115679406,-79.34639217979787,Brewery
Studio District,43.6595255,-79.340923,McQueens Pub,43.661483127832994,-79.338072195258,Gastropub
Lawrence Park,43.7280205,-79.3887901,Lawrence Park Ravine,43.72696303913754,-79.39438246708775,Park
Lawrence Park,43.7280205,-79.3887901,cheltenham park,43.72667,-79.385324,Park
Lawrence Park,43.7280205,-79.3887901,Zodiac Swim School,43.728532057654384,-79.3828602612317,Swim School
Lawrence Park,43.7280205,-79.3887901,TTC Bus #162 - Lawrence-Donway,43.72802605799448,-79.38280527753858,Bus Line
Davisville North,43.7127511,-79.3901975,Summerhill Market North,43.715499149106904,-79.39288125988016,Food & Drink Shop
Davisville North,43.7127511,-79.3901975,Sherwood Park,43.71655100307589,-79.38777567141624,Park
Davisville North,43.7127511,-79.3901975,Homeway Restaurant & Brunch,43.712641203974435,-79.39155655199943,Breakfast Spot
Davisville North,43.7127511,-79.3901975,Winners,43.713236064132516,-79.3938728363979,Department Store
Davisville North,43.7127511,-79.3901975,Best Western Roehampton Hotel & Suites,43.7088783,-79.3908798,Hotel
Davisville North,43.7127511,-79.3901975,Subway,43.7084743635371,-79.39067425664052,Sandwich Place
Davisville North,43.7127511,-79.3901975,900 Mount Pleasant - Residents Gym,43.71167058860572,-79.39176718824409,Gym / Fitness Center
